id,keyword,text
148,volcanic%20ash%20volcanic%20ash%20mexico%20volcano%20popocatépetl,Here is the latest volcanic ash advisory stating an end of volcanic ash emissions with steam and gas emission observed for Mexico volcano Popocatépetl
149,volcanic%20ash%20ecuador%20volcano%20reventador,Here is the latest volcanic ash advisory for Ecuador volcano Reventador
150,volcanic%20ash%20guatemala%20volcano%20fuego,Here is the latest volcanic ash advisory for Guatemala volcano Fuego
151,volcanic%20ash%20mexico%20volcano%20popocatepetl,Here is the latest volcanic ash advisory for Mexico volcano Popocatepetl
152,volcanic%20ash%20ecuador%20volcano%20reventador,Here is the latest  volcanic ash advisory for Ecuador volcano Reventador
153,volcanic%20ash%20ecuador%20volcano%20reventador,Here is the latest volcanic ash advisory for Ecuador volcano Reventador
154,volcanic%20ash%20guatemala%20volcano%20fuego,Here is the latest volcanic ash advisory for Guatemala volcano Fuego
155,volcanic%20ash%20volcanic%20ash%20mexico%20volcano%20popocatepetl,Here is the latest volcanic ash advisory stating an end of volcanic ash emissions for Mexico volcano Popocatepetl
156,volcanic%20ash%20ecuador%20volcano%20reventador,Here is the latest volcanic ash advisory for Ecuador volcano Reventador
157,volcanic%20ash%20guatemala%20volcano%20fuego,Here is the latest volcanic ash advisory for Guatemala volcano Fuego
158,lapalma%20update%20lava%20factory%20causes,LaPalma Volcano Update New Lava Arm Nears Sea  Factory Fire Causes Lo   via YouTube
159,lapalma%20cumbrevieja%20canaryislands%20canarias%20grancanaria%20lapalmavolcan%20volcancumbrevieja%20españa%20spain%20volcano%20volcan%20lava,An Acolyptic Scene at the Ocean of La Lalma where lava finally drops  LaPalma CumbreVieja CanaryIslands Canarias GranCanaria LaPalmavolcan volcanCumbreVieja España Spain volcano volcan lava
160,lapalma%20cumbrevieja%20canaryislands%20canarias%20grancanaria%20lapalmavolcan%20volcancumbrevieja%20españa%20spain%20volcano%20volcan%20lava,This is the area destroyed by new lava flow after 9 October 2021  LaPalma CumbreVieja CanaryIslands Canarias GranCanaria LaPalmavolcan volcanCumbreVieja España Spain volcano volcan lava
161,lapalma%20cumbrevieja%20canaryislands%20canarias%20grancanaria%20lapalmavolcan%20volcancumbrevieja%20españa%20spain%20volcano%20volcan%20lava,A summary of Seismic Activity at La Palma  LaPalma CumbreVieja CanaryIslands Canarias GranCanaria LaPalmavolcan volcanCumbreVieja España Spain volcano volcan lava
162,lava,Fun before bed Youngest playing ukulele and all joining in for the song lava everyone needs someone to lava
163,video%20drone%20footage%20shows%20lava%20rolling%20palma%20volcano,Video Drone footage shows lava rolling down La Palma volcano Video Drone footage shows lava rolling Palma volcano
