iter	Passed	Remaining
552	6773	5475
553	6786	5463
554	6799	5451
555	6811	5439
556	6822	5426
557	6834	5413
558	6846	5400
559	6857	5388
560	6869	5375
561	6881	5363
562	6893	5350
563	6904	5337
564	6916	5325
565	6928	5312
566	6941	5301
567	6954	5288
568	6966	5276
569	6978	5264
570	6990	5251
571	7002	5239
572	7014	5226
573	7025	5214
574	7037	5201
575	7050	5189
576	7061	5176
577	7073	5164
578	7085	5151
579	7097	5139
580	7109	5126
581	7120	5114
582	7132	5101
583	7144	5089
584	7156	5076
585	7168	5064
586	7180	5051
587	7192	5039
588	7205	5027
589	7216	5015
590	7229	5003
591	7241	4990
592	7253	4978
593	7265	4965
594	7277	4953
595	7289	4940
596	7301	4928
597	7312	4916
598	7324	4903
599	7336	4890
600	7348	4878
601	7360	4866
602	7372	4854
603	7384	4841
604	7397	4829
605	7410	4817
606	7422	4805
607	7434	4793
608	7445	4780
609	7457	4767
610	7469	4755
611	7482	4743
612	7494	4731
613	7505	4718
614	7517	4706
615	7529	4693
616	7541	4681
617	7552	4668
618	7564	4655
619	7575	4643
620	7587	4630
621	7599	4618
622	7612	4606
623	7624	4594
624	7636	4582
625	7649	4569
626	7661	4557
627	7673	4545
628	7685	4532
629	7697	4520
630	7709	4508
631	7721	4495
632	7733	4483
633	7745	4471
634	7757	4459
635	7770	4447
636	7782	4435
637	7795	4423
638	7807	4410
639	7819	4398
640	7831	4385
641	7843	4373
642	7855	4361
643	7867	4349
644	7879	4336
645	7891	4324
646	7903	4312
647	7915	4299
648	7927	4287
649	7938	4274
650	7950	4262
651	7962	4249
652	7975	4237
653	7987	4225
654	7999	4213
655	8010	4200
656	8023	4188
657	8036	4176
658	8049	4165
659	8061	4152
660	8073	4140
661	8085	4128
662	8098	4116
663	8111	4104
664	8123	4092
665	8134	4079
666	8145	4066
667	8157	4054
668	8168	4041
669	8180	4029
670	8192	4016
671	8203	4004
672	8215	3991
673	8228	3980
674	8240	3967
675	8253	3956
676	8265	3943
677	8277	3931
678	8289	3918
679	8301	3906
680	8313	3894
