iter	Passed	Remaining
560	4348	3402
561	4356	3395
562	4364	3387
563	4371	3379
564	4379	3371
565	4386	3363
566	4394	3355
567	4401	3347
568	4409	3340
569	4417	3332
570	4425	3324
571	4433	3317
572	4440	3309
573	4448	3301
574	4455	3293
575	4463	3285
576	4470	3277
577	4478	3269
578	4485	3261
579	4492	3253
580	4500	3245
581	4508	3237
582	4515	3229
583	4523	3221
584	4530	3213
585	4538	3206
586	4546	3198
587	4554	3191
588	4562	3183
589	4569	3175
590	4578	3168
591	4585	3160
592	4593	3152
593	4601	3145
594	4609	3137
595	4617	3129
596	4624	3121
597	4632	3114
598	4640	3106
599	4648	3098
600	4655	3091
601	4663	3083
602	4671	3075
603	4679	3067
604	4687	3060
605	4694	3052
606	4702	3044
607	4710	3037
608	4718	3029
609	4726	3021
610	4734	3014
611	4742	3006
612	4750	2999
613	4758	2991
614	4766	2983
615	4774	2976
616	4781	2968
617	4790	2960
618	4798	2953
619	4807	2946
620	4815	2938
621	4823	2931
622	4831	2923
623	4839	2915
624	4847	2908
625	4855	2900
626	4863	2893
627	4871	2885
628	4879	2877
629	4886	2870
630	4895	2862
631	4903	2855
632	4911	2847
633	4919	2839
634	4927	2832
635	4935	2824
636	4944	2817
637	4953	2810
638	4963	2803
639	4972	2796
640	4981	2790
641	4990	2782
642	4998	2775
643	5006	2767
644	5014	2760
645	5022	2752
646	5031	2744
647	5039	2737
648	5071	2742
649	5079	2735
650	5091	2729
651	5109	2727
652	5119	2720
653	5127	2712
654	5136	2705
655	5144	2697
656	5153	2690
657	5161	2682
658	5169	2675
659	5178	2667
660	5189	2661
661	5197	2653
662	5205	2646
663	5214	2638
664	5222	2630
665	5230	2623
666	5239	2615
667	5247	2607
668	5262	2603
669	5272	2597
670	5281	2589
671	5289	2581
672	5335	2592
673	5352	2589
674	5363	2582
675	5374	2575
676	5382	2568
677	5391	2560
678	5400	2553
679	5408	2545
680	5417	2537
681	5425	2529
682	5433	2521
683	5441	2513
684	5449	2506
685	5457	2498
686	5466	2490
687	5474	2482
688	5483	2475
689	5492	2467
690	5502	2460
691	5510	2452
692	5519	2445
693	5527	2437
694	5536	2429
695	5545	2422
696	5554	2414
697	5563	2407
698	5572	2399
699	5581	2391
700	5589	2384
701	5598	2376
702	5606	2368
703	5615	2360
704	5624	2353
705	5632	2345
706	5641	2337
707	5650	2330
708	5658	2322
709	5667	2315
710	5676	2307
711	5684	2299
712	5693	2291
713	5701	2283
714	5710	2276
715	5718	2268
716	5726	2260
717	5735	2252
718	5743	2244
719	5751	2236
720	5759	2228
721	5767	2220
722	5776	2212
723	5783	2204
724	5794	2197
725	5805	2190
726	5814	2183
727	5822	2175
728	5830	2167
729	5839	2159
730	5847	2151
731	5855	2143
732	5863	2135
733	5871	2127
734	5880	2120
735	5888	2112
736	5897	2104
737	5906	2096
738	5915	2089
739	5924	2081
740	5932	2073
741	5944	2067
742	5952	2059
743	5960	2050
744	5968	2042
745	5976	2035
746	5985	2027
747	5993	2019
748	6002	2011
749	6010	2003
750	6018	1995
751	6026	1987
752	6034	1979
753	6042	1971
754	6051	1963
755	6059	1955
756	6067	1947
757	6075	1939
758	6082	1931
759	6091	1923
760	6099	1915
761	6107	1907
762	6115	1899
763	6123	1891
764	6131	1883
765	6139	1875
766	6147	1867
767	6156	1859
768	6164	1851
769	6172	1843
770	6180	1835
771	6188	1827
772	6196	1819
773	6205	1811
774	6213	1803
775	6220	1795
776	6228	1787
777	6236	1779
778	6243	1771
779	6251	1763
780	6258	1755
781	6266	1746
782	6274	1738
783	6282	1730
784	6289	1722
785	6297	1714
786	6304	1706
787	6312	1698
788	6319	1690
789	6327	1682
790	6335	1674
791	6343	1665
792	6350	1657
793	6358	1649
794	6365	1641
795	6373	1633
796	6380	1625
797	6388	1617
798	6396	1609
799	6403	1600
800	6411	1592
801	6418	1584
802	6425	1576
803	6433	1568
804	6441	1560
805	6448	1552
806	6456	1544
807	6463	1535
808	6471	1527
809	6478	1519
810	6486	1511
811	6493	1503
812	6501	1495
813	6508	1487
814	6516	1479
815	6524	1471
816	6531	1463
817	6539	1454
818	6547	1446
819	6554	1438
820	6562	1430
821	6569	1422
822	6578	1414
823	6587	1406
824	6595	1399
825	6605	1391
826	6612	1383
827	6620	1375
828	6628	1367
829	6635	1359
830	6643	1351
831	6650	1342
832	6658	1334
833	6665	1326
834	6673	1318
835	6681	1310
836	6688	1302
837	6696	1294
838	6703	1286
839	6711	1278
840	6718	1270
841	6726	1262
842	6736	1254
843	6746	1246
844	6754	1238
845	6761	1230
846	6771	1223
847	6779	1215
848	6787	1207
849	6795	1199
850	6803	1191
851	6812	1183
852	6820	1175
853	6829	1167
854	6836	1159
855	6844	1151
856	6852	1143
857	6860	1135
858	6869	1127
859	6877	1119
860	6886	1111
861	6894	1103
862	6903	1095
863	6911	1087
864	6919	1079
865	6927	1071
866	6935	1063
867	6942	1055
868	6950	1047
869	6958	1039
870	6965	1031
871	6973	1023
872	6981	1015
873	6989	1007
874	6996	999
875	7004	991
876	7011	983
877	7020	975
878	7028	967
879	7036	959
880	7044	951
